nose:
  Frame 110: x=0.4630, y=0.2950, z=-0.3223
  Frame 111: x=0.4648, y=0.2865, z=-0.3790
  Frame 112: x=0.4656, y=0.2849, z=-0.3649
  Frame 113: x=0.4666, y=0.2835, z=-0.3595
  Frame 114: x=0.4728, y=0.2815, z=-0.3651
  Frame 115: x=0.4780, y=0.2800, z=-0.3418
  Frame 116: x=0.4821, y=0.2795, z=-0.3518
  Frame 117: x=0.4872, y=0.2793, z=-0.3573
  Frame 118: x=0.4883, y=0.2791, z=-0.3679
  Frame 119: x=0.4919, y=0.2777, z=-0.3844
  Frame 120: x=0.4976, y=0.2772, z=-0.3244
  Frame 121: x=0.5053, y=0.2773, z=-0.2567
  Frame 122: x=0.5119, y=0.2792, z=-0.2440
  Frame 123: x=0.5186, y=0.2863, z=-0.2258
  Frame 124: x=0.5202, y=0.2881, z=-0.1990
  Frame 125: x=0.5246, y=0.2979, z=-0.2371
  Frame 126: x=0.5275, y=0.3091, z=-0.2508
  Frame 127: x=0.5304, y=0.3149, z=-0.2445
  Frame 128: x=0.5311, y=0.3124, z=-0.2754
  Frame 129: x=0.5301, y=0.3109, z=-0.2699
  Frame 130: x=0.5301, y=0.3108, z=-0.2417
  Frame 131: x=0.5294, y=0.3043, z=-0.2463
  Frame 132: x=0.5284, y=0.2940, z=-0.2256
  Frame 133: x=0.5280, y=0.2782, z=-0.1913
  Frame 134: x=0.5233, y=0.2698, z=-0.1913
  Frame 135: x=0.5148, y=0.2632, z=-0.1786
  Frame 136: x=0.5122, y=0.2615, z=-0.1841
  Frame 137: x=0.5070, y=0.2581, z=-0.1884
  Frame 138: x=0.4958, y=0.2574, z=-0.1967
  Frame 139: x=0.4839, y=0.2587, z=-0.2014
  Frame 140: x=0.4733, y=0.2582, z=-0.2020
  Frame 141: x=0.4641, y=0.2576, z=-0.1912
  Frame 142: x=0.4611, y=0.2588, z=-0.1949
  Frame 143: x=0.4512, y=0.2597, z=-0.2473
  Frame 144: x=0.4403, y=0.2603, z=-0.3529
  Frame 145: x=0.4281, y=0.2607, z=-0.3699
  Frame 146: x=0.4162, y=0.2611, z=-0.3192
  Frame 147: x=0.4040, y=0.2615, z=-0.3098
  Frame 148: x=0.4010, y=0.2620, z=-0.2632
  Frame 149: x=0.3929, y=0.2628, z=-0.2465
  Frame 150: x=0.3846, y=0.2629, z=-0.2172
  Frame 151: x=0.3749, y=0.2570, z=-0.2294
  Frame 152: x=0.3689, y=0.2479, z=-0.3073
  Frame 153: x=0.3609, y=0.2355, z=-0.3031
  Frame 154: x=0.3573, y=0.2333, z=-0.2961
  Frame 155: x=0.3522, y=0.2248, z=-0.2505
  Frame 156: x=0.3497, y=0.2163, z=-0.2290
