nose:
  Frame 30: x=0.5006, y=0.2702, z=-0.0379
  Frame 31: x=0.5003, y=0.2681, z=-0.0882
  Frame 32: x=0.4955, y=0.2648, z=-0.0809
  Frame 33: x=0.4938, y=0.2632, z=-0.0850
  Frame 34: x=0.4815, y=0.2645, z=0.0003
  Frame 35: x=0.4778, y=0.2667, z=0.0660
  Frame 36: x=0.4776, y=0.2678, z=0.0759
  Frame 37: x=0.4826, y=0.2686, z=0.1720
  Frame 38: x=0.4949, y=0.2687, z=0.0587
  Frame 39: x=0.4972, y=0.2678, z=0.0461
  Frame 40: x=0.4967, y=0.2666, z=-0.0660
  Frame 41: x=0.4965, y=0.2668, z=-0.0592
  Frame 42: x=0.4963, y=0.2669, z=-0.0604
  Frame 43: x=0.4968, y=0.2670, z=-0.0596
  Frame 44: x=0.4975, y=0.2670, z=-0.0671
  Frame 45: x=0.4979, y=0.2670, z=-0.0689
  Frame 46: x=0.4990, y=0.2646, z=-0.0637
  Frame 47: x=0.4993, y=0.2620, z=-0.0594
  Frame 48: x=0.4995, y=0.2617, z=-0.0596
  Frame 49: x=0.4940, y=0.2582, z=-0.0848
  Frame 50: x=0.4840, y=0.2567, z=-0.0826
  Frame 51: x=0.4820, y=0.2559, z=-0.0867
  Frame 52: x=0.4780, y=0.2583, z=0.0965
  Frame 53: x=0.4801, y=0.2585, z=0.1327
  Frame 54: x=0.4805, y=0.2588, z=0.1309
  Frame 55: x=0.4936, y=0.2592, z=0.0996
  Frame 56: x=0.4960, y=0.2594, z=-0.0657
  Frame 57: x=0.4968, y=0.2598, z=-0.0768
  Frame 58: x=0.4959, y=0.2606, z=-0.0913
  Frame 59: x=0.4958, y=0.2620, z=-0.0421
  Frame 60: x=0.4958, y=0.2626, z=-0.0349
  Frame 61: x=0.4970, y=0.2627, z=-0.0860
  Frame 62: x=0.4988, y=0.2618, z=-0.1153
  Frame 63: x=0.4994, y=0.2617, z=-0.0975
  Frame 64: x=0.5010, y=0.2601, z=-0.0474
