nose:
  Frame 17: x=0.4840, y=0.3378, z=-0.0221
  Frame 18: x=0.4840, y=0.3375, z=-0.0230
  Frame 19: x=0.4841, y=0.3375, z=-0.0243
  Frame 20: x=0.4841, y=0.3372, z=-0.0265
  Frame 21: x=0.4842, y=0.3372, z=-0.0311
  Frame 22: x=0.4843, y=0.3372, z=-0.0318

shoulder_left:
  Frame 0: x=0.5226, y=0.4190, z=-0.0844
  Frame 1: x=0.5223, y=0.4187, z=-0.0492
  Frame 2: x=0.5200, y=0.4171, z=-0.0357
  Frame 3: x=0.5185, y=0.4164, z=-0.0271
  Frame 4: x=0.5180, y=0.4162, z=-0.0265
  Frame 5: x=0.5185, y=0.4090, z=0.0132
  Frame 6: x=0.5193, y=0.4068, z=0.0211
  Frame 7: x=0.5202, y=0.4064, z=0.0190
  Frame 8: x=0.5206, y=0.4072, z=0.0185
  Frame 9: x=0.5214, y=0.4077, z=0.0199
  Frame 10: x=0.5217, y=0.4079, z=0.0147
  Frame 11: x=0.5221, y=0.4081, z=0.0123
  Frame 12: x=0.5221, y=0.4083, z=0.0141
  Frame 13: x=0.5221, y=0.4084, z=0.0140
  Frame 14: x=0.5220, y=0.4086, z=0.0337
  Frame 15: x=0.5218, y=0.4087, z=0.0406
  Frame 16: x=0.5216, y=0.4088, z=0.0433
  Frame 17: x=0.5211, y=0.4089, z=0.0480
  Frame 18: x=0.5208, y=0.4089, z=0.0495
  Frame 19: x=0.5206, y=0.4089, z=0.0506
  Frame 20: x=0.5204, y=0.4086, z=0.0523
  Frame 21: x=0.5203, y=0.4082, z=0.0496
  Frame 22: x=0.5202, y=0.4080, z=0.0491

shoulder_right:
  Frame 0: x=0.4891, y=0.3677, z=-0.0222
  Frame 1: x=0.4892, y=0.3683, z=-0.0225
  Frame 2: x=0.4895, y=0.3700, z=0.0069
  Frame 3: x=0.4895, y=0.3711, z=0.0200
  Frame 4: x=0.4895, y=0.3714, z=0.0164
  Frame 5: x=0.4708, y=0.3953, z=-0.0201
  Frame 6: x=0.4681, y=0.4002, z=-0.0159
  Frame 7: x=0.4679, y=0.4013, z=-0.0070
  Frame 8: x=0.4685, y=0.4043, z=-0.0066
  Frame 9: x=0.4693, y=0.4047, z=-0.0109
  Frame 10: x=0.4695, y=0.4049, z=-0.0115
  Frame 11: x=0.4695, y=0.4037, z=-0.0134
  Frame 12: x=0.4689, y=0.4024, z=-0.0164
  Frame 13: x=0.4686, y=0.4017, z=-0.0170
  Frame 14: x=0.4689, y=0.4002, z=-0.0309
  Frame 15: x=0.4693, y=0.3968, z=-0.0350
  Frame 16: x=0.4696, y=0.3951, z=-0.0350
  Frame 17: x=0.4692, y=0.3932, z=-0.0409
  Frame 18: x=0.4693, y=0.3924, z=-0.0512
  Frame 19: x=0.4694, y=0.3919, z=-0.0527
  Frame 20: x=0.4699, y=0.3918, z=-0.0567
  Frame 21: x=0.4705, y=0.3915, z=-0.0569
  Frame 22: x=0.4709, y=0.3914, z=-0.0551

elbow_left:
  Frame 0: x=0.5578, y=0.4693, z=-0.1086
  Frame 1: x=0.5572, y=0.4691, z=-0.0551
  Frame 2: x=0.5511, y=0.4681, z=-0.0501
  Frame 3: x=0.5477, y=0.4673, z=-0.0545
  Frame 4: x=0.5470, y=0.4667, z=-0.0503
  Frame 5: x=0.5532, y=0.4362, z=0.0153
  Frame 6: x=0.5564, y=0.4313, z=0.0002
  Frame 7: x=0.5581, y=0.4304, z=0.0152
  Frame 8: x=0.5591, y=0.4300, z=0.0167
  Frame 9: x=0.5599, y=0.4303, z=0.0270
  Frame 10: x=0.5601, y=0.4305, z=0.0204
  Frame 11: x=0.5604, y=0.4311, z=0.0200
  Frame 12: x=0.5607, y=0.4312, z=0.0241
  Frame 13: x=0.5609, y=0.4313, z=0.0242
  Frame 14: x=0.5607, y=0.4306, z=0.0298
  Frame 15: x=0.5606, y=0.4308, z=0.0354
  Frame 16: x=0.5605, y=0.4309, z=0.0379
  Frame 17: x=0.5607, y=0.4313, z=0.0448
  Frame 18: x=0.5606, y=0.4315, z=0.0453
  Frame 19: x=0.5606, y=0.4316, z=0.0464
  Frame 20: x=0.5600, y=0.4317, z=0.0494
  Frame 21: x=0.5599, y=0.4317, z=0.0507
  Frame 22: x=0.5598, y=0.4318, z=0.0507

elbow_right:
  Frame 0: x=0.4749, y=0.2988, z=0.0182
  Frame 1: x=0.4751, y=0.2976, z=-0.0155
  Frame 2: x=0.4773, y=0.2953, z=0.0203
  Frame 3: x=0.4792, y=0.2951, z=0.0280
  Frame 4: x=0.4797, y=0.2947, z=0.0250
  Frame 5: x=0.4417, y=0.4080, z=-0.1321
  Frame 6: x=0.4379, y=0.4145, z=-0.1253
  Frame 7: x=0.4371, y=0.4141, z=-0.1052
  Frame 8: x=0.4371, y=0.4153, z=-0.1132
  Frame 9: x=0.4382, y=0.4136, z=-0.1211
  Frame 10: x=0.4383, y=0.4136, z=-0.1175
  Frame 11: x=0.4391, y=0.4132, z=-0.1178
  Frame 12: x=0.4395, y=0.4110, z=-0.1198
  Frame 13: x=0.4398, y=0.4106, z=-0.1202
  Frame 14: x=0.4440, y=0.4048, z=-0.1702
  Frame 15: x=0.4508, y=0.4022, z=-0.1817
  Frame 16: x=0.4527, y=0.4008, z=-0.1820
  Frame 17: x=0.4620, y=0.4007, z=-0.1855
  Frame 18: x=0.4687, y=0.3991, z=-0.2001
  Frame 19: x=0.4697, y=0.3981, z=-0.2015
  Frame 20: x=0.4753, y=0.3947, z=-0.2078
  Frame 21: x=0.4754, y=0.3947, z=-0.2082
  Frame 22: x=0.4753, y=0.3947, z=-0.2052

wrist_left:
  Frame 0: x=0.5938, y=0.5073, z=-0.1895
  Frame 1: x=0.5932, y=0.5065, z=-0.1316
  Frame 2: x=0.5875, y=0.5063, z=-0.1266
  Frame 3: x=0.5840, y=0.5052, z=-0.1346
  Frame 4: x=0.5831, y=0.5046, z=-0.1295
  Frame 5: x=0.5855, y=0.4261, z=-0.0561
  Frame 6: x=0.5858, y=0.4211, z=-0.0876
  Frame 7: x=0.5871, y=0.4176, z=-0.0595
  Frame 8: x=0.5896, y=0.4180, z=-0.0514
  Frame 9: x=0.5921, y=0.4183, z=-0.0305
  Frame 10: x=0.5930, y=0.4190, z=-0.0382
  Frame 11: x=0.5941, y=0.4218, z=-0.0369
  Frame 12: x=0.5951, y=0.4237, z=-0.0299
  Frame 13: x=0.5956, y=0.4242, z=-0.0292
  Frame 14: x=0.5968, y=0.4263, z=-0.0270
  Frame 15: x=0.5977, y=0.4278, z=-0.0187
  Frame 16: x=0.5979, y=0.4287, z=-0.0159
  Frame 17: x=0.5997, y=0.4335, z=-0.0084
  Frame 18: x=0.6002, y=0.4384, z=-0.0085
  Frame 19: x=0.6003, y=0.4403, z=-0.0079
  Frame 20: x=0.6001, y=0.4449, z=-0.0015
  Frame 21: x=0.5999, y=0.4478, z=0.0017
  Frame 22: x=0.5997, y=0.4488, z=0.0016

wrist_right:
  Frame 0: x=0.4689, y=0.2345, z=0.0458
  Frame 1: x=0.4691, y=0.2345, z=-0.0276
  Frame 2: x=0.4751, y=0.2322, z=0.0077
  Frame 3: x=0.4787, y=0.2316, z=0.0186
  Frame 4: x=0.4793, y=0.2303, z=0.0129
  Frame 5: x=0.4414, y=0.3948, z=-0.3112
  Frame 6: x=0.4369, y=0.3987, z=-0.2957
  Frame 7: x=0.4372, y=0.3971, z=-0.2802
  Frame 8: x=0.4388, y=0.3966, z=-0.2863
  Frame 9: x=0.4412, y=0.3978, z=-0.2881
  Frame 10: x=0.4418, y=0.3981, z=-0.2817
  Frame 11: x=0.4441, y=0.3932, z=-0.2733
  Frame 12: x=0.4479, y=0.3874, z=-0.2673
  Frame 13: x=0.4494, y=0.3868, z=-0.2685
  Frame 14: x=0.4647, y=0.3793, z=-0.3247
  Frame 15: x=0.4706, y=0.3761, z=-0.3386
  Frame 16: x=0.4714, y=0.3743, z=-0.3384
  Frame 17: x=0.4831, y=0.3740, z=-0.3351
  Frame 18: x=0.4898, y=0.3724, z=-0.3475
  Frame 19: x=0.4905, y=0.3713, z=-0.3490
  Frame 20: x=0.4942, y=0.3701, z=-0.3539
  Frame 21: x=0.4933, y=0.3701, z=-0.3625
  Frame 22: x=0.4930, y=0.3700, z=-0.3600

hip_left:
  Frame 0: x=0.5085, y=0.5366, z=-0.0292
  Frame 1: x=0.5112, y=0.5388, z=-0.0168
  Frame 2: x=0.5111, y=0.5395, z=-0.0196
  Frame 3: x=0.5111, y=0.5392, z=-0.0210
  Frame 4: x=0.5111, y=0.5384, z=-0.0209
  Frame 5: x=0.5110, y=0.5415, z=0.0092
  Frame 6: x=0.5109, y=0.5438, z=0.0088
  Frame 7: x=0.5109, y=0.5445, z=0.0032
  Frame 8: x=0.5109, y=0.5458, z=0.0027
  Frame 9: x=0.5109, y=0.5464, z=0.0071
  Frame 10: x=0.5109, y=0.5467, z=0.0066
  Frame 11: x=0.5109, y=0.5465, z=0.0072
  Frame 12: x=0.5109, y=0.5463, z=0.0090
  Frame 13: x=0.5110, y=0.5462, z=0.0089
  Frame 14: x=0.5110, y=0.5457, z=0.0146
  Frame 15: x=0.5110, y=0.5454, z=0.0171
  Frame 16: x=0.5110, y=0.5451, z=0.0180
  Frame 17: x=0.5110, y=0.5445, z=0.0219
  Frame 18: x=0.5110, y=0.5440, z=0.0255
  Frame 19: x=0.5110, y=0.5437, z=0.0261
  Frame 20: x=0.5111, y=0.5438, z=0.0275
  Frame 21: x=0.5110, y=0.5438, z=0.0265
  Frame 22: x=0.5110, y=0.5438, z=0.0259

hip_right:
  Frame 0: x=0.4941, y=0.5301, z=0.0291
  Frame 1: x=0.4976, y=0.5306, z=0.0167
  Frame 2: x=0.4990, y=0.5304, z=0.0195
  Frame 3: x=0.4983, y=0.5294, z=0.0210
  Frame 4: x=0.4981, y=0.5282, z=0.0209
  Frame 5: x=0.4864, y=0.5437, z=-0.0091
  Frame 6: x=0.4832, y=0.5483, z=-0.0088
  Frame 7: x=0.4829, y=0.5498, z=-0.0032
  Frame 8: x=0.4825, y=0.5509, z=-0.0027
  Frame 9: x=0.4824, y=0.5508, z=-0.0072
  Frame 10: x=0.4821, y=0.5509, z=-0.0067
  Frame 11: x=0.4818, y=0.5503, z=-0.0073
  Frame 12: x=0.4818, y=0.5496, z=-0.0091
  Frame 13: x=0.4817, y=0.5492, z=-0.0090
  Frame 14: x=0.4816, y=0.5491, z=-0.0146
  Frame 15: x=0.4817, y=0.5490, z=-0.0171
  Frame 16: x=0.4818, y=0.5490, z=-0.0180
  Frame 17: x=0.4818, y=0.5486, z=-0.0219
  Frame 18: x=0.4818, y=0.5484, z=-0.0255
  Frame 19: x=0.4818, y=0.5481, z=-0.0261
  Frame 20: x=0.4818, y=0.5479, z=-0.0275
  Frame 21: x=0.4818, y=0.5478, z=-0.0265
  Frame 22: x=0.4818, y=0.5477, z=-0.0260

knee_left:
  Frame 0: x=0.5001, y=0.6733, z=-0.0131
  Frame 1: x=0.4993, y=0.6733, z=-0.0122
  Frame 2: x=0.4979, y=0.6729, z=-0.0384
  Frame 3: x=0.4977, y=0.6707, z=-0.0447
  Frame 4: x=0.4976, y=0.6691, z=-0.0478
  Frame 5: x=0.5025, y=0.6666, z=-0.0042
  Frame 6: x=0.5040, y=0.6657, z=-0.0010
  Frame 7: x=0.5048, y=0.6654, z=-0.0085
  Frame 8: x=0.5051, y=0.6649, z=-0.0115
  Frame 9: x=0.5052, y=0.6650, z=-0.0010
  Frame 10: x=0.5052, y=0.6650, z=-0.0013
  Frame 11: x=0.5056, y=0.6645, z=-0.0024
  Frame 12: x=0.5060, y=0.6637, z=-0.0030
  Frame 13: x=0.5062, y=0.6635, z=-0.0036
