nose:
  Frame 110: x=0.5590, y=0.1902, z=-0.3402
  Frame 111: x=0.5604, y=0.1915, z=-0.4411
  Frame 112: x=0.5603, y=0.1941, z=-0.3862
  Frame 113: x=0.5608, y=0.1996, z=-0.2858
  Frame 114: x=0.5606, y=0.2014, z=-0.2731
  Frame 115: x=0.5590, y=0.2032, z=-0.2333
  Frame 116: x=0.5573, y=0.2037, z=-0.2616
  Frame 117: x=0.5568, y=0.2033, z=-0.3393
  Frame 118: x=0.5561, y=0.2029, z=-0.3680
  Frame 119: x=0.5558, y=0.2027, z=-0.3399
  Frame 120: x=0.5555, y=0.2027, z=-0.3120
  Frame 121: x=0.5552, y=0.2025, z=-0.2702
  Frame 122: x=0.5541, y=0.2012, z=-0.2394
  Frame 123: x=0.5532, y=0.2011, z=-0.2495
  Frame 124: x=0.5521, y=0.2022, z=-0.2566
  Frame 125: x=0.5514, y=0.2050, z=-0.3318
  Frame 126: x=0.5506, y=0.2058, z=-0.3312
  Frame 127: x=0.5500, y=0.2095, z=-0.3493
  Frame 128: x=0.5499, y=0.2130, z=-0.3464
  Frame 129: x=0.5501, y=0.2170, z=-0.3320
  Frame 130: x=0.5508, y=0.2205, z=-0.3090
  Frame 131: x=0.5521, y=0.2199, z=-0.2549
  Frame 132: x=0.5529, y=0.2195, z=-0.2550
  Frame 133: x=0.5559, y=0.2190, z=-0.2351
  Frame 134: x=0.5572, y=0.2178, z=-0.2441
  Frame 135: x=0.5585, y=0.2166, z=-0.2603
  Frame 136: x=0.5601, y=0.2154, z=-0.3355
  Frame 137: x=0.5617, y=0.2139, z=-0.3549
  Frame 138: x=0.5623, y=0.2128, z=-0.3496
  Frame 139: x=0.5624, y=0.2104, z=-0.3927
  Frame 140: x=0.5627, y=0.2067, z=-0.3997
  Frame 141: x=0.5628, y=0.2019, z=-0.3846
  Frame 142: x=0.5633, y=0.1975, z=-0.3322
  Frame 143: x=0.5634, y=0.1934, z=-0.3301
  Frame 144: x=0.5632, y=0.1931, z=-0.3125
  Frame 145: x=0.5630, y=0.1934, z=-0.3376
  Frame 146: x=0.5630, y=0.1934, z=-0.3030
  Frame 147: x=0.5629, y=0.1938, z=-0.2683
  Frame 148: x=0.5643, y=0.1951, z=-0.2415
  Frame 149: x=0.5645, y=0.1975, z=-0.2213
  Frame 150: x=0.5648, y=0.2003, z=-0.2152
  Frame 151: x=0.5652, y=0.2016, z=-0.2457
  Frame 152: x=0.5653, y=0.2014, z=-0.2548
  Frame 153: x=0.5652, y=0.1990, z=-0.3540
  Frame 154: x=0.5650, y=0.1956, z=-0.3678
  Frame 155: x=0.5641, y=0.1904, z=-0.3690
  Frame 156: x=0.5636, y=0.1878, z=-0.3836
  Frame 157: x=0.5624, y=0.1835, z=-0.3775
  Frame 158: x=0.5609, y=0.1802, z=-0.3668
  Frame 159: x=0.5593, y=0.1727, z=-0.3268
  Frame 160: x=0.5576, y=0.1677, z=-0.2809
  Frame 161: x=0.5570, y=0.1655, z=-0.2818
  Frame 162: x=0.5566, y=0.1649, z=-0.2596
  Frame 163: x=0.5557, y=0.1645, z=-0.2501
  Frame 164: x=0.5539, y=0.1658, z=-0.2561
  Frame 165: x=0.5533, y=0.1669, z=-0.2683
  Frame 166: x=0.5528, y=0.1671, z=-0.3148
  Frame 167: x=0.5529, y=0.1673, z=-0.3474
  Frame 168: x=0.5529, y=0.1677, z=-0.3427
  Frame 169: x=0.5531, y=0.1663, z=-0.3291
  Frame 170: x=0.5551, y=0.1623, z=-0.2475
  Frame 171: x=0.5582, y=0.1547, z=-0.2000
  Frame 172: x=0.5612, y=0.1486, z=-0.1826
  Frame 173: x=0.5633, y=0.1443, z=-0.2215
  Frame 174: x=0.5641, y=0.1439, z=-0.2265
  Frame 175: x=0.5665, y=0.1405, z=-0.2183
  Frame 176: x=0.5681, y=0.1390, z=-0.2157
